 Item,Quantity,Price Per Item,Link to Product,Total,
1PCS Black 2020N2 2020 T-Slot European Standard Anodized Aluminum Profile Extrusion L=100-1000mm Linear Rail for CNC 3D Printer,5,$12.56,https://www.aliexpress.us/item/3256802658753426.html?spm=a2g0o.cart.0.0.727c38daM7Y2La&mp=1&pdp_npi=5%40dis%21USD%21USD%2017.94%21USD%2012.56%21%21USD%2012.18%21%21%21%40210325a917651591382034965e39c3%2112000031355966597%21ct%21US%21-1%21%215%210&_gl=1*l6wxwk*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNTg4OTckajYwJGwwJGgw&gatewayAdapt=glo2usa,$62.80,
STEPPERONLINE 3PCS Nema17 Stepper Motor 48mm 17HS19-2004S1 Motor 59Ncm(84oz.in) 2A 4-lead Nema 17 Stepper for CNC 3D Printer,1,$31.89,https://www.aliexpress.us/item/2255801033887365.html?spm=a2g0o.cart.0.0.727c38daM7Y2La&mp=1&pdp_npi=5%40dis%21USD%21USD%2041.96%21USD%2031.89%21%21USD%2031.89%21%21%21%40210325a917651594364384949e39c3%2110000015342053270%21ct%21US%21-1%21%211%210&_gl=1*ifvxmy*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNTk1MzckajQwJGwwJGgw&gatewayAdapt=glo2usa,$31.89,
MEGA 4 3 2 1PC/lot Stepper Motor NEMA 17 Mounting Bracket L Motor Bracket Mount Fixed Support Shelf 3D Printer Part 42mm,1,$2.73,https://www.aliexpress.us/item/3256801687849777.html?spm=a2g0o.cart.0.0.727c38day9kwjD&mp=1&pdp_npi=5%40dis%21USD%21USD%209.23%21USD%202.73%21%21USD%202.73%21%21%21%40210325a917651596836902692e39c3%2112000017982288761%21ct%21US%21-1%21%211%210&_gl=1*nkpzvp*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNTk2ODQkajE0JGwwJGgw&gatewayAdapt=glo2usa,$2.73,
Official Original Raspberry Pi 4 Model B Dev Board Kit RAM 2G 4G 8G 4 Core CPU 1.5Ghz 3 Speeder Than Pi 3B+,1,$93.49,https://www.adafruit.com/product/4296,$93.49,
8cm 8025 80x80x25mm 5V USB cable Power Cooling Case Fan brushless For Receiver DVR Xbox TV Box Router,1,$4.74,https://www.aliexpress.us/item/3256809047857708.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%204.74%21USD%204.74%21%21USD%204.74%21%21%21%40210325a917651598395997147e39c3%2112000048416541596%21ct%21US%21-1%21%211%210&_gl=1*pcgks5*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjAxMTMkajIzJGwwJGgw&gatewayAdapt=glo2usa,$4.74,
32-Bit Motherboard GRBL 1.1 Type C Port CNC Engraving Machine Control Board 3-Axis with Offline For CNC3018 Laser Machine,1,$37.68,https://www.aliexpress.us/item/3256805662918330.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%20107.65%21USD%2037.68%21%21USD%2037.68%21%21%21%40210325a917651598395997147e39c3%2112000034575851648%21ct%21US%21-1%21%211%210&_gl=1*1ua2g5b*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjAxMjYkajEwJGwwJGgw&gatewayAdapt=glo2usa,$37.68,
104W ER8 Square DC Brushless spindle motor CNC kit & DBD200 24V Driver For Router Milling,1,$66.47,https://www.aliexpress.us/item/3256809336485019.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%2078.20%21USD%2066.47%21%21USD%2066.47%21%21%21%40210325a917651598395997147e39c3%2112000049358806599%21ct%21US%21-1%21%211%210&_gl=1*1j2ft03*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjAxODMkajM1JGwwJGgw&gatewayAdapt=glo2usa,$66.47,
AC DC 24V Power Supply 1A 2A 3A 5A 6A 7A 8A 10A AC DC Led 24 V Volt Switching Power Supply Adapter Transformers 220V 110V To 24V,1,$29.96,https://www.aliexpress.us/item/3256801313203398.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%2029.96%21USD%2029.96%21%21USD%2029.96%21%21%21%40210325a917651598395997147e39c3%2112000016358517478%21ct%21US%21-1%21%211%210&_gl=1*1kr4pyi*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjAyNjEkajI4JGwwJGgw&gatewayAdapt=glo2usa,$29.96,
"
Openbuild V Gantry Plat Set Special Slide Plate Pulley for 3D Printer 2020 V-slot Aluminum Profiles Wheels For 3D Printer Parts",3,$7.03,https://www.aliexpress.us/item/3256808602761907.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%207.03%21USD%207.03%21%21USD%207.03%21%21%21%40210325a917651598395997147e39c3%2112000046670016079%21ct%21US%21-1%21%213%210&_gl=1*1vkfp5j*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjAzNDIkajMyJGwwJGgw&gatewayAdapt=glo2usa,$21.09,
MEGA 3D Printer T8 Lead Screw Kit KP08/KFL Bracket Nuts Pitch 2mm Lead 8mm Lead 2mm Diameter 8mm Conversion Seat Aluminum Block,1,$12.40,https://www.aliexpress.us/item/3256802501656829.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%2018.23%21USD%2012.40%21%21USD%2012.40%21%21%21%40210325a917651598395997147e39c3%2112000021721212633%21ct%21US%21-1%21%211%210&_gl=1*2m7zoi*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjAzOTgkajYwJGwwJGgw&gatewayAdapt=glo2usa,$12.40,
896F Mini Horizontal Mechanical Limit Switch Endstop Touched Stroke Re-set Switch for 3D Printer CNC DIY Motherboards Accessory,1,$2.89,https://www.aliexpress.us/item/3256809111365523.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%205.90%21USD%202.89%21%21USD%202.89%21%21%21%40210325a917651598395997147e39c3%2112000048655426914%21ct%21US%21-1%21%211%210&_gl=1*1hd2dne*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjA0NjEkajYwJGwwJGgw&gatewayAdapt=glo2usa,$2.89,
896F Mini Horizontal Mechanical Limit Switch Endstop Touched Stroke Re-set Switch for 3D Printer CNC DIY Motherboards Accessory,1,$5.42,https://www.aliexpress.us/item/3256809111365523.html?spm=a2g0o.cart.0.0.727c38da7SbWrC&mp=1&pdp_npi=5%40dis%21USD%21USD%2011.30%21USD%200.99%21%21USD%200.99%21%21%21%40210325a917651598395997147e39c3%2112000048655426916%21ct%21US%21-1%21%211%210&_gl=1*1a52ofh*_gcl_au*MjAwNjk4ODU0MS4xNzY1MTQwNzA3*_ga*MTIxMTAxMDY0Mi4xNzY1MTQxNTg5*_ga_VED1YSGNC7*czE3NjUxNTgxMDkkbzMkZzEkdDE3NjUxNjA2MTMkajYkbDAkaDA.&gatewayAdapt=glo2usa,$5.42,
